audit_id,user_id,role,action,patient_id,timestamp,record_type,record_id,actions_per_hour,unique_patients_accessed,off_hours_flag,untreated_patient_ratio,record_type_entropy,rapid_edit_flag,cross_role_action_flag,session_duration_minutes,is_anomaly
15,NUR_001,nurse,register_walkin,3408cffd-cbea-0de1-e3a8-8b0b86bb5637,2026-05-06 03:19:04,appointment,APPOINTMENT_3546,22,23,1,0.08,1.371,0,0,74.11,0
16,NUR_003,nurse,update_vitals,5dd32bff-9eaf-50ef-db4f-c6065be13792,2026-04-10 04:24:27,observation,OBSERVATION_6464,30,16,1,0.02,1.522,0,0,23.48,0
17,PATUSER_025,patient,view_own_record,e60a6ecc-5639-5800-4bf2-8e8a2865e55c,2026-04-01 04:31:25,medical_record,MEDICAL_RECORD_1685,2,3,1,0.0,1.918,0,0,54.4,0
18,NUR_005,nurse,update_vitals,668a10b4-c005-0df3-522e-b068e0d29ea9,2026-05-03 01:13:38,observation,OBSERVATION_7745,19,12,1,0.08,1.918,0,0,29.76,0
19,PATUSER_027,patient,view_queue,8e21cb1f-b016-dda9-1d06-c920c24a0b37,2026-05-19 11:29:23,queue,QUEUE_1387,2,2,0,0.0,1.557,0,0,54.09,0
20,PATUSER_018,patient,view_queue,820d39a0-d304-2b9d-25a8-d705deede745,2026-05-07 06:20:03,queue,QUEUE_5349,3,1,0,0.0,2.0,0,0,24.54,0
21,DOC_003,doctor,create_prescription,7bbc22dd-2b36-8b49-3bcc-14c25dafd13e,2026-04-10 06:29:14,prescription,PRESCRIPTION_2146,16,13,0,0.1,1.5,0,0,13.1,0
22,PATUSER_018,patient,cancel_appointment,c95c96d5-ac6e-6ab6-143b-6da3e3923f39,2026-04-26 09:46:11,appointment,APPOINTMENT_7653,3,3,0,0.0,1.585,0,0,55.38,0
23,PATUSER_011,patient,cancel_appointment,a8bef5c2-6743-79e8-8477-bc3b6244c334,2026-04-23 04:54:57,appointment,APPOINTMENT_4848,3,1,1,0.0,1.842,0,0,45.6,0
24,PATUSER_019,patient,view_own_record,2faf5170-7c17-9c76-c091-5349b5ecad23,2026-04-23 03:53:25,medical_record,MEDICAL_RECORD_1822,2,1,1,0.0,1.549,0,0,73.88,0
25,PATUSER_011,patient,cancel_appointment,f8540aed-49fc-9dd6-b195-288635b1d17a,2026-05-12 02:23:57,appointment,APPOINTMENT_8206,4,1,1,0.0,1.555,0,0,51.73,0
26,DOC_005,doctor,create_prescription,57b901cb-d3d2-258c-2773-57008eb32345,2026-04-18 04:10:38,prescription,PRESCRIPTION_7812,13,13,1,0.07,1.371,0,0,14.69,0
27,DOC_004,doctor,view_record,f8540aed-49fc-9dd6-b195-288635b1d17a,2026-04-16 06:46:17,medical_record,MEDICAL_RECORD_7624,17,3,0,0.19,1.922,0,0,31.63,0
28,PATUSER_022,patient,view_own_record,155649eb-5d3e-41ca-5a2c-78972a1721f4,2026-03-30 08:07:56,medical_record,MEDICAL_RECORD_5558,2,3,0,0.0,1.936,0,0,68.49,0
29,PATUSER_024,patient,view_own_record,a2ff83e0-2cc0-50a4-b008-52a1add72ced,2026-04-16 06:41:10,medical_record,MEDICAL_RECORD_1333,3,1,0,0.0,1.0,0,0,57.43,0
30,PATUSER_015,patient,view_queue,57b901cb-d3d2-258c-2773-57008eb32345,2026-05-08 02:43:18,queue,QUEUE_6111,4,3,1,0.0,1.792,0,0,71.34,0
31,PATUSER_012,patient,book_appointment,073b376b-9659-3e78-c6a6-a08b74d710da,2026-03-31 07:11:18,appointment,APPOINTMENT_6934,4,3,0,0.0,1.826,0,0,46.45,0
32,PATUSER_016,patient,cancel_appointment,ea7deb48-7fa5-3406-28b9-051b0c18d363,2026-05-03 08:18:27,appointment,APPOINTMENT_7209,6,1,0,0.0,1.823,0,0,56.37,0
33,NUR_007,nurse,view_audit,d1838618-2a96-9761-0b8d-89a92a022bcc,2026-05-07 19:22:46,audit,AUDIT_7658,46,51,0,0.72,1.5,1,1,222.1,1
34,PATUSER_007,patient,view_own_record,668a10b4-c005-0df3-522e-b068e0d29ea9,2026-03-30 03:44:43,medical_record,MEDICAL_RECORD_6764,6,2,1,0.0,1.379,0,0,39.36,0
35,PATUSER_020,patient,view_own_record,e60a6ecc-5639-5800-4bf2-8e8a2865e55c,2026-05-11 05:01:17,medical_record,MEDICAL_RECORD_2647,3,1,1,0.0,1.918,0,0,18.48,0
36,PATUSER_029,patient,book_appointment,392c8ae6-3c3b-1ff7-c35c-4e64946db9b6,2026-04-11 03:28:32,appointment,APPOINTMENT_8216,3,1,1,0.0,1.906,0,0,54.56,0
37,NUR_007,nurse,register_walkin,d1838618-2a96-9761-0b8d-89a92a022bcc,2026-04-03 00:36:20,appointment,APPOINTMENT_8253,16,21,1,0.01,1.561,0,0,39.42,0
38,NUR_005,nurse,update_queue,8c562216-cb73-0829-2fa4-123468939df6,2026-05-04 06:39:45,appointment,APPOINTMENT_7693,17,24,0,0.07,0.918,0,0,56.81,0
39,PATUSER_004,patient,view_queue,047f3ed4-bdea-7cd6-6e80-8537a3979cc6,2026-03-29 08:09:43,queue,QUEUE_8195,3,1,0,0.0,1.922,0,0,54.49,0
40,DOC_008,doctor,view_record,a82f0145-e797-d65d-bebf-e49dd38bac1e,2026-05-20 04:54:16,medical_record,MEDICAL_RECORD_8141,17,11,1,0.11,1.922,0,0,10.63,0
41,PATUSER_016,patient,view_own_record,c95c96d5-ac6e-6ab6-143b-6da3e3923f39,2026-05-18 01:36:50,medical_record,MEDICAL_RECORD_9431,4,2,1,0.0,1.573,0,0,27.47,0
42,PATUSER_028,patient,cancel_appointment,2faf5170-7c17-9c76-c091-5349b5ecad23,2026-05-03 11:15:00,appointment,APPOINTMENT_3594,5,2,0,0.0,1.981,0,0,18.13,0
43,NUR_005,nurse,register_walkin,3844e0c5-14c7-8f87-19b0-8f769b3bdd70,2026-05-05 09:19:38,appointment,APPOINTMENT_7284,21,8,0,0.03,1.75,0,0,12.94,0
44,DOC_013,doctor,update_diagnosis,3408cffd-cbea-0de1-e3a8-8b0b86bb5637,2026-05-16 08:26:47,condition,CONDITION_4826,9,5,0,0.06,1.526,0,0,34.05,0
45,PATUSER_030,patient,view_queue,d1838618-2a96-9761-0b8d-89a92a022bcc,2026-04-18 01:09:19,queue,QUEUE_8213,3,3,1,0.0,1.918,0,0,68.94,0
46,DOC_007,doctor,view_observation,1c39de5b-289a-3a1a-669b-2f756efb8bcb,2026-05-14 07:42:50,observation,OBSERVATION_9864,5,7,0,0.09,0.971,0,0,15.81,0
47,DOC_003,doctor,view_record,e300c149-9eaa-3d5a-57d9-ea8d4c996597,2026-04-22 03:37:13,medical_record,MEDICAL_RECORD_5806,14,10,1,0.16,0.811,0,0,11.89,0
48,ADM_001,admin,manage_user,a992fe7d-cd9b-0ace-6e0b-f6f0b5f01fc3,2026-03-30 03:06:24,user,USER_2210,5,8,1,0.04,1.826,0,0,17.6,0
49,PATUSER_004,patient,view_queue,ed1c3b46-34b9-221b-cb10-682e9ed9ddbd,2026-05-18 09:45:41,queue,QUEUE_1803,3,3,0,0.0,1.868,0,0,53.32,0
50,PATUSER_014,patient,book_appointment,45f758c8-34c3-3fa5-41f9-5906127ba1bd,2026-05-03 04:43:12,appointment,APPOINTMENT_6977,2,3,1,0.0,1.792,0,0,20.33,0
51,PATUSER_022,patient,cancel_appointment,dd55f477-af88-4543-f8c0-dca25a96c4cb,2026-04-27 04:59:27,appointment,APPOINTMENT_8673,3,3,1,0.0,1.252,0,0,19.06,0
52,DOC_005,doctor,view_record,12a088f3-264b-6a9f-9a57-678747110969,2026-04-23 03:50:12,medical_record,MEDICAL_RECORD_2911,17,14,1,0.02,1.95,0,0,23.51,0
53,DOC_009,doctor,create_prescription,2d457e3d-90cb-357e-f7e0-3014068d2f29,2026-04-17 16:55:52,prescription,PRESCRIPTION_8264,54,51,0,0.69,1.971,0,0,386.18,1
54,PATUSER_004,patient,cancel_appointment,e7fccc97-5df9-b27f-8322-44fd5b624936,2026-03-28 05:51:46,appointment,APPOINTMENT_1828,1,3,1,0.0,1.922,0,0,68.12,0
55,PATUSER_026,patient,book_appointment,9cefc3e8-33f8-beac-d280-fb10e474151c,2026-05-01 02:40:21,appointment,APPOINTMENT_1422,5,1,1,0.0,1.436,0,0,58.56,0
56,DOC_009,doctor,view_observation,5dd32bff-9eaf-50ef-db4f-c6065be13792,2026-04-26 17:34:16,observation,OBSERVATION_8847,72,40,0,0.66,1.823,1,0,135.72,1
57,PATUSER_030,patient,view_own_record,a2ff83e0-2cc0-50a4-b008-52a1add72ced,2026-04-14 11:04:38,medical_record,MEDICAL_RECORD_9282,1,2,0,0.0,1.459,0,0,36.05,0
58,PATUSER_014,patient,book_appointment,9cefc3e8-33f8-beac-d280-fb10e474151c,2026-04-21 11:55:25,appointment,APPOINTMENT_7132,1,3,0,0.0,1.722,0,0,58.83,0
59,DOC_010,doctor,update_diagnosis,5dd32bff-9eaf-50ef-db4f-c6065be13792,2026-05-15 07:35:04,condition,CONDITION_8900,7,5,0,0.18,1.834,0,0,11.76,0
60,DOC_015,doctor,view_observation,d1838618-2a96-9761-0b8d-89a92a022bcc,2026-05-18 06:02:18,observation,OBSERVATION_5477,22,14,0,0.03,2.0,0,0,20.83,0
61,PATUSER_020,patient,view_queue,d9044272-63af-eca3-2a0c-ec9f9c10a98f,2026-03-29 05:36:16,queue,QUEUE_7878,3,1,1,0.0,1.5,0,0,15.03,0
62,PATUSER_005,patient,view_own_record,7225d50f-9363-214e-02d6-3fdc2a246bdc,2026-05-20 05:29:38,medical_record,MEDICAL_RECORD_8043,3,3,1,0.0,1.826,0,0,70.9,0
63,DOC_008,doctor,view_record,19e9c5a5-4114-0f95-e5e8-29cd6749d4e1,2026-03-25 10:39:48,medical_record,MEDICAL_RECORD_9149,23,18,0,0.12,1.0,0,0,20.44,0
64,PATUSER_023,patient,cancel_appointment,7f857501-0257-2c7f-2e8f-9886705681f3,2026-03-29 02:52:24,appointment,APPOINTMENT_2275,4,3,1,0.0,1.5,0,0,40.02,0
65,NUR_006,nurse,update_queue,054e161c-d33f-0970-2018-1f19582e0813,2026-05-15 10:05:58,appointment,APPOINTMENT_7560,20,19,0,0.03,1.522,0,0,72.63,0
66,PATUSER_009,patient,update_diagnosis,e7fccc97-5df9-b27f-8322-44fd5b624936,2026-03-31 19:00:01,condition,CONDITION_3504,82,41,0,0.72,1.658,0,1,142.91,1
67,PATUSER_024,patient,view_queue,10751dec-9152-b658-beeb-ba433fbb9213,2026-05-07 02:26:25,queue,QUEUE_6085,2,3,1,0.0,1.826,0,0,57.81,0
68,PATUSER_005,patient,view_own_record,ed1c3b46-34b9-221b-cb10-682e9ed9ddbd,2026-05-03 01:05:01,medical_record,MEDICAL_RECORD_2381,3,2,1,0.0,1.936,0,0,65.5,0
69,PATUSER_008,patient,book_appointment,910f9d72-b5f2-60bf-8302-274ac5d74635,2026-04-17 00:50:27,appointment,APPOINTMENT_5128,2,3,1,0.0,1.846,0,0,35.76,0
70,PATUSER_022,patient,cancel_appointment,e94fc8e2-b867-5164-0607-5e5eb581b150,2026-04-13 10:08:13,appointment,APPOINTMENT_1298,2,2,0,0.0,1.922,0,0,51.45,0
71,ADM_002,admin,view_report,c72a8c6e-1dfd-0a8b-20e7-066eadd4931c,2026-05-18 04:16:35,report,REPORT_6968,7,7,1,0.02,1.888,0,0,15.85,0
72,PATUSER_019,patient,book_appointment,21adc8c0-7e1e-5167-1ac1-5449a6a2c73f,2026-04-28 07:41:48,appointment,APPOINTMENT_5096,5,2,0,0.0,1.495,0,0,59.87,0
73,DOC_004,doctor,view_record,a8bef5c2-6743-79e8-8477-bc3b6244c334,2026-05-12 05:36:46,medical_record,MEDICAL_RECORD_4862,22,6,1,0.16,1.918,0,0,13.73,0
74,ADM_003,admin,view_report,3bc81e09-7091-bc59-a58a-39b485d9e48b,2026-05-14 05:35:37,report,REPORT_5193,5,0,1,0.03,1.811,0,0,55.03,0
75,DOC_014,doctor,view_record,a8bef5c2-6743-79e8-8477-bc3b6244c334,2026-04-09 08:53:09,medical_record,MEDICAL_RECORD_3352,24,16,0,0.02,1.371,0,0,26.08,0
76,NUR_004,nurse,view_appointment,917ffe5d-46b2-36f1-0de8-35e5ed017fa7,2026-03-29 10:00:03,appointment,APPOINTMENT_4950,19,13,0,0.07,1.555,0,0,51.78,0
77,PATUSER_022,patient,cancel_appointment,2b31de7e-3596-37c7-1d46-db12d82e73ef,2026-04-28 01:48:21,appointment,APPOINTMENT_8498,5,3,1,0.0,1.918,0,0,14.34,0
78,DOC_003,doctor,view_observation,8fcbd58f-7e61-d74d-9b35-46d267ecbbd3,2026-04-10 00:29:17,observation,OBSERVATION_7553,11,4,1,0.07,1.5,0,0,32.88,0
79,PATUSER_023,patient,cancel_appointment,4f74c441-7628-4f98-82a7-f4c99d926736,2026-05-15 06:32:15,appointment,APPOINTMENT_2680,3,1,0,0.0,1.371,0,0,39.83,0
80,DOC_006,doctor,update_diagnosis,054e161c-d33f-0970-2018-1f19582e0813,2026-04-22 04:29:15,condition,CONDITION_2101,14,17,1,0.13,1.988,0,0,53.28,0
81,NUR_001,nurse,update_vitals,155649eb-5d3e-41ca-5a2c-78972a1721f4,2026-04-17 05:49:57,observation,OBSERVATION_5288,19,18,1,0.11,1.988,0,0,15.74,0
82,PATUSER_025,patient,view_queue,d5d8b210-bca5-a9ce-0711-3d09468bfe47,2026-04-06 07:33:37,queue,QUEUE_6922,2,3,0,0.0,1.936,0,0,69.15,0
83,PATUSER_008,patient,cancel_appointment,0e697a7b-149b-602d-af6f-7e76ca18c5d7,2026-04-23 04:18:04,appointment,APPOINTMENT_8632,2,1,1,0.0,1.826,0,0,6.84,0
84,PATUSER_019,patient,book_appointment,21b4ddc5-081e-1ecd-3573-f2ea42677b66,2026-04-21 02:59:27,appointment,APPOINTMENT_6286,5,3,1,0.0,0.722,0,0,58.74,0
85,PATUSER_021,patient,cancel_appointment,f8540aed-49fc-9dd6-b195-288635b1d17a,2026-04-02 09:06:48,appointment,APPOINTMENT_7825,3,1,0,0.0,1.555,0,0,49.45,0
86,PATUSER_015,patient,view_queue,d20dc49f-5674-961e-a123-6e3000654b95,2026-04-09 08:18:20,queue,QUEUE_4342,6,3,0,0.0,1.571,0,0,71.97,0
87,NUR_007,nurse,update_queue,d1838618-2a96-9761-0b8d-89a92a022bcc,2026-05-12 05:50:01,appointment,APPOINTMENT_5382,30,16,1,0.09,1.922,0,0,73.28,0
88,PATUSER_004,patient,view_queue,7225d50f-9363-214e-02d6-3fdc2a246bdc,2026-04-09 02:22:26,queue,QUEUE_1379,1,2,1,0.0,1.436,0,0,65.49,0
89,DOC_006,doctor,view_observation,744a7169-4e89-61ff-27f2-3c736abf4368,2026-05-02 09:23:22,observation,OBSERVATION_6995,19,10,0,0.05,1.906,0,0,8.54,0
90,DOC_003,doctor,view_observation,dd0de87d-2596-9c38-a834-6f5246a48a51,2026-05-12 10:01:46,observation,OBSERVATION_3363,22,9,0,0.08,1.459,0,0,32.04,0
91,DOC_013,doctor,view_observation,c5d42b3b-72de-b953-545d-1de4cf59d279,2026-04-27 06:55:38,observation,OBSERVATION_6511,21,4,0,0.01,1.459,0,0,28.31,0
92,PATUSER_008,patient,view_own_record,5dd32bff-9eaf-50ef-db4f-c6065be13792,2026-04-17 08:48:12,medical_record,MEDICAL_RECORD_3421,4,3,0,0.0,1.971,0,0,38.24,0
93,PATUSER_028,patient,cancel_appointment,e60a6ecc-5639-5800-4bf2-8e8a2865e55c,2026-04-20 00:35:55,appointment,APPOINTMENT_8837,5,3,1,0.0,1.95,0,0,6.33,0
94,PATUSER_009,patient,cancel_appointment,dda456b9-cd60-e91b-8a88-fd381a9e4611,2026-05-03 02:56:41,appointment,APPOINTMENT_8861,4,3,1,0.0,1.299,0,0,29.8,0
95,ADM_001,admin,update_schedule,42c1eb05-09a9-eeda-a957-d822de66c536,2026-05-16 11:49:18,schedule,SCHEDULE_8247,6,4,0,0.01,1.459,0,0,31.58,0
96,PATUSER_017,patient,cancel_appointment,7f857501-0257-2c7f-2e8f-9886705681f3,2026-04-02 07:33:08,appointment,APPOINTMENT_1084,2,1,0,0.0,1.884,0,0,23.98,0
97,PATUSER_011,patient,view_queue,910f9d72-b5f2-60bf-8302-274ac5d74635,2026-05-05 02:39:17,queue,QUEUE_1595,4,3,1,0.0,1.891,0,0,66.49,0
98,PATUSER_029,patient,view_own_record,4ca3be26-4f97-27f0-32fa-6ea155eba23a,2026-03-25 07:46:05,medical_record,MEDICAL_RECORD_3198,2,3,0,0.0,1.522,0,0,69.82,0
99,PATUSER_030,patient,cancel_appointment,7f857501-0257-2c7f-2e8f-9886705681f3,2026-05-09 04:37:29,appointment,APPOINTMENT_2562,2,1,1,0.0,1.891,0,0,56.18,0
100,DOC_012,doctor,update_diagnosis,d1838618-2a96-9761-0b8d-89a92a022bcc,2026-04-15 07:46:06,condition,CONDITION_2017,15,10,0,0.0,0.811,0,0,36.27,0
101,PATUSER_018,patient,cancel_appointment,9e25d332-9229-0803-ad9f-ca235142458e,2026-05-08 04:34:09,appointment,APPOINTMENT_9998,2,2,1,0.0,1.53,0,0,69.62,0
102,PATUSER_006,patient,view_own_record,79402472-6884-1aca-759a-a23f36ee8dca,2026-04-27 10:55:02,medical_record,MEDICAL_RECORD_2904,2,1,0,0.0,1.753,0,0,46.71,0
103,PATUSER_019,patient,view_own_record,671064b5-039b-51a8-7e40-8e6baa0a7e35,2026-04-23 09:35:01,medical_record,MEDICAL_RECORD_7941,4,1,0,0.0,1.686,0,0,36.18,0
104,ADM_001,admin,manage_user,2b31de7e-3596-37c7-1d46-db12d82e73ef,2026-05-13 08:35:18,user,USER_3924,2,1,0,0.1,1.922,0,0,25.1,0
105,PATUSER_010,patient,cancel_appointment,843d8b33-f833-1324-2aa6-e07c91e49204,2026-04-23 03:10:15,appointment,APPOINTMENT_1527,6,1,1,0.0,1.846,0,0,57.93,0
106,PATUSER_027,patient,view_own_record,79402472-6884-1aca-759a-a23f36ee8dca,2026-04-22 10:05:12,medical_record,MEDICAL_RECORD_8191,1,1,0,0.0,1.5,0,0,12.06,0
107,DOC_015,doctor,update_diagnosis,9cefc3e8-33f8-beac-d280-fb10e474151c,2026-04-09 00:46:25,condition,CONDITION_9592,9,12,1,0.05,1.918,0,0,45.33,0
108,NUR_006,nurse,update_queue,9cefc3e8-33f8-beac-d280-fb10e474151c,2026-04-13 07:21:14,appointment,APPOINTMENT_8369,12,15,0,0.05,1.936,0,0,38.15,0
109,PATUSER_030,patient,view_own_record,42c1eb05-09a9-eeda-a957-d822de66c536,2026-05-19 08:30:41,medical_record,MEDICAL_RECORD_7498,6,1,0,0.0,1.834,0,0,31.4,0
110,NUR_001,nurse,update_vitals,e60a6ecc-5639-5800-4bf2-8e8a2865e55c,2026-04-23 04:33:20,observation,OBSERVATION_5272,20,20,1,0.06,1.975,0,0,23.31,0
111,PATUSER_011,patient,book_appointment,dda456b9-cd60-e91b-8a88-fd381a9e4611,2026-04-18 10:03:22,appointment,APPOINTMENT_4015,6,2,0,0.0,1.573,0,0,18.73,0
112,PATUSER_010,patient,view_own_record,155649eb-5d3e-41ca-5a2c-78972a1721f4,2026-05-12 00:26:55,medical_record,MEDICAL_RECORD_1990,5,1,1,0.0,1.842,0,0,10.2,0
113,PATUSER_015,patient,view_queue,2925a752-da6a-ef1f-31aa-68b0c2ff5027,2026-03-25 09:28:02,queue,QUEUE_4948,4,3,0,0.0,1.906,0,0,5.46,0
114,DOC_013,doctor,view_observation,ed1c3b46-34b9-221b-cb10-682e9ed9ddbd,2026-04-30 04:42:13,observation,OBSERVATION_1919,16,11,1,0.17,0.954,0,0,72.15,0
115,PATUSER_016,patient,update_diagnosis,07052ffe-5096-f813-923b-f3a32be34399,2026-05-17 17:33:26,condition,CONDITION_5441,40,51,0,0.93,1.5,1,1,355.31,1
116,DOC_003,doctor,create_prescription,1c39de5b-289a-3a1a-669b-2f756efb8bcb,2026-05-01 10:36:17,prescription,PRESCRIPTION_9856,13,4,0,0.04,1.371,0,0,6.1,0
117,NUR_007,nurse,update_vitals,392c8ae6-3c3b-1ff7-c35c-4e64946db9b6,2026-04-08 12:19:33,observation,OBSERVATION_2404,12,8,0,0.06,1.669,0,0,8.76,0
118,PATUSER_025,patient,book_appointment,19e9c5a5-4114-0f95-e5e8-29cd6749d4e1,2026-05-11 03:50:49,appointment,APPOINTMENT_6896,6,1,1,0.0,1.922,0,0,15.8,0
119,PATUSER_024,patient,view_queue,d7b30817-a7e4-d7c5-8582-63d251b6f98c,2026-03-31 02:27:34,queue,QUEUE_3777,1,1,1,0.0,1.888,0,0,43.99,0
120,DOC_009,doctor,view_observation,671064b5-039b-51a8-7e40-8e6baa0a7e35,2026-05-14 04:30:52,observation,OBSERVATION_1110,20,7,1,0.01,1.842,0,0,34.48,0
121,PATUSER_001,patient,book_appointment,e60a6ecc-5639-5800-4bf2-8e8a2865e55c,2026-04-13 09:47:07,appointment,APPOINTMENT_9044,4,2,0,0.0,1.557,0,0,35.14,0
122,PATUSER_012,patient,view_own_record,0369610a-4641-e2d5-80b2-844b2bd99f16,2026-05-23 06:02:41,medical_record,MEDICAL_RECORD_4965,4,2,0,0.0,1.959,0,0,32.51,0
123,NUR_002,nurse,update_vitals,2b31de7e-3596-37c7-1d46-db12d82e73ef,2026-04-28 11:59:28,observation,OBSERVATION_2735,21,18,0,0.01,1.959,0,0,38.55,0
124,DOC_001,doctor,create_prescription,9b5ce034-80bf-4c6b-f400-3a89fc0d135b,2026-04-16 03:27:59,prescription,PRESCRIPTION_8460,21,10,1,0.1,1.906,0,0,59.06,0
125,PATUSER_026,patient,view_queue,d998bd61-bed8-3eb5-dcb5-297579cf936f,2026-04-14 07:30:48,queue,QUEUE_4996,3,2,0,0.0,1.922,0,0,55.54,0
126,PATUSER_009,patient,view_queue,d9044272-63af-eca3-2a0c-ec9f9c10a98f,2026-05-04 02:37:40,queue,QUEUE_5560,3,3,1,0.0,1.485,0,0,37.34,0
127,PATUSER_024,patient,cancel_appointment,5dd32bff-9eaf-50ef-db4f-c6065be13792,2026-04-14 01:38:58,appointment,APPOINTMENT_8501,5,1,1,0.0,1.406,0,0,42.58,0
128,PATUSER_015,patient,book_appointment,e8b56457-438e-7a2e-04ee-e0b2ec149f61,2026-04-14 10:33:44,appointment,APPOINTMENT_7852,6,2,0,0.0,1.371,0,0,46.31,0
129,PATUSER_014,patient,book_appointment,910f9d72-b5f2-60bf-8302-274ac5d74635,2026-04-29 06:37:00,appointment,APPOINTMENT_1157,4,1,0,0.0,1.918,0,0,42.62,0
130,PATUSER_007,patient,view_queue,11b2d013-d581-7187-e88b-7a04781d307b,2026-04-20 07:12:22,queue,QUEUE_8492,5,3,0,0.0,1.868,0,0,33.64,0
131,PATUSER_012,patient,cancel_appointment,d998bd61-bed8-3eb5-dcb5-297579cf936f,2026-04-28 08:19:17,appointment,APPOINTMENT_8193,5,3,0,0.0,1.936,0,0,12.99,0
132,DOC_008,doctor,create_prescription,01974f36-ced2-c38e-32c5-1b09e1fe1638,2026-05-14 03:40:21,prescription,PRESCRIPTION_6302,11,14,1,0.19,1.0,0,0,34.97,0
133,PATUSER_021,patient,view_own_record,c95c96d5-ac6e-6ab6-143b-6da3e3923f39,2026-04-02 10:15:19,medical_record,MEDICAL_RECORD_5090,3,3,0,0.0,1.5,0,0,52.55,0
134,DOC_010,doctor,view_observation,a24f1dcf-ef87-f609-183a-d00bcc9b7292,2026-04-22 03:31:09,observation,OBSERVATION_2037,17,18,1,0.03,1.522,0,0,48.95,0
135,PATUSER_026,patient,cancel_appointment,0e697a7b-149b-602d-af6f-7e76ca18c5d7,2026-04-15 04:02:05,appointment,APPOINTMENT_8009,4,1,1,0.0,1.738,0,0,27.6,0
136,DOC_013,doctor,update_diagnosis,047f3ed4-bdea-7cd6-6e80-8537a3979cc6,2026-04-10 02:31:52,condition,CONDITION_8032,14,8,1,0.19,1.5,0,0,11.53,0
137,PATUSER_017,patient,book_appointment,b23941a4-269e-2ac4-8ced-75d1ac8b1b1d,2026-04-27 02:09:57,appointment,APPOINTMENT_3165,1,1,1,0.0,2.0,0,0,14.29,0
138,PATUSER_006,patient,view_audit,2d457e3d-90cb-357e-f7e0-3014068d2f29,2026-04-01 19:51:18,audit,AUDIT_6753,40,66,0,0.92,1.918,0,1,214.01,1
139,PATUSER_022,patient,book_appointment,155649eb-5d3e-41ca-5a2c-78972a1721f4,2026-03-30 12:23:35,appointment,APPOINTMENT_3290,2,2,0,0.0,1.522,0,0,35.97,0
140,NUR_001,nurse,register_walkin,f5de0af7-bfb4-270e-8175-e12515583ea8,2026-05-18 02:21:11,appointment,APPOINTMENT_7322,15,23,1,0.07,1.95,0,0,24.94,0
